score,text
0,"['film', 'stars', 'among', 'others', 'slapchop', 'vince', 'offer', 'also', 'wrote', 'edited', 'directed', 'joey', 'buttafuoconot', 'exactly', 'names', 'scream', 'quality', 'uplifting', 'skits', 'supermodels', 'taking', 'dump', 'exactly', 'sounds', 'like', 'guy', 'robs', 'sperm', 'bank', 'rhymer', 'necrophilia', 'rotting', 'corpse', 'black', 'market', 'fetuses', 'featuring', 'guy', 'scooping', 'supposed', 'jar', 'lots', 'lots', 'gay', 'jokes', 'skit', 'giant', 'phallus', 'superhero', 'forced', 'abortions', 'skits', 'painfully', 'unfunny', 'batman', 'rhymer', 'acting', 'not', 'good', 'enough', 'considered', 'amateurish', 'film', 'crude', 'sake', 'crudeand', 'stupid', 'truly', 'believe', 'group', 'yearolds', 'easily', 'made', 'funnier', 'film', 'budgetapparently', 'film', 'resulted', 'lawsuit', 'slap', 'shot', 'vince', 'scientologists', 'frankly', 'would', 'not', 'know', 'root', 'case', 'apparently', 'alleged', 'somehow', 'scientologists', 'destroyed', 'reputation', 'sank', 'film', 'no', 'matter', 'film', 'repellent', 'junk', 'start', 'finish', 'unfunny', 'comparison', 'ebola', 'funnierand', 'nicest', 'things', 'say', 'movieby', 'way', 'bobby', 'lee', 'mad', 'tv', 'wearing', 'diaper', 'participating', 'dumb', 'fake', 'porno', 'film', 'amazing', 'career', 'overcome']"
0,"['not', 'one', 'time', 'thing', 'either', 'shocking', 'pattern', 'repeated', 'neglect', 'disrespect']"
1,"['seems', 'lot', 'imdb', 'comments', 'film', 'biased', 'sense', 'try', 'compare', 'older', 'version', 'true', 'hollow', 'man', 'remake', 'sorts', 'invisible', 'man', 'similarities', 'end', 'hollow', 'man', 'entertaining', 'movieperiod', 'watch', 'movie', 'intention', 'finding', 'many', 'flaws', 'possible', 'not', 'watch', 'movies', 'first', 'place', 'true', 'movies', 'plain', 'horrendous', 'unbearable', 'hollow', 'man', 'manages', 'entertain', 'make', 'think', 'would', 'invisible', 'ex', 'getting', 'laid', 'one', 'friends', 'kevin', 'bacon', 'stars', 'eccentric', 'scientist', 'along', 'team', 'collaborators', 'discover', 'way', 'make', 'animals', 'invisible', 'mission', 'make', 'visible', 'team', 'young', 'scientists', 'working', 'might', 'guess', 'pentagonthink', 'formula', 'making', 'animals', 'visible', 'kevin', 'bacon', 'volunteers', 'first', 'try', 'new', 'experimental', 'drug', 'course', 'things', 'go', 'wrong', 'kevin', 'bacon', 'remains', 'invisible', 'rest', 'movie', 'obliged', 'wear', 'latex', 'mask', 'collaborators', 'know', 'feelings', 'paranoia', 'desperation', 'begin', 'take', 'kevins', 'character', 'finds', 'ex', 'girlfriend', 'collaborator', 'elisabeth', 'shue', 'torrid', 'affair', 'another', 'young', 'scientists', 'team', 'finally', 'snaps', 'movie', 'turns', 'hybrid', 'alien', 'slasher', 'flick', 'not', 'saying', 'bad', 'turn', 'scares', 'chills', 'movie', 'moves', 'nice', 'pace', 'special', 'effects', 'top', 'notch', 'quality', 'always', 'prevalent', 'paul', 'verhoevens', 'filmsas', 'get', 'see', 'body', 'reconstitution', 'sequences', 'never', 'seen', 'movie', 'anything', 'complain', 'perhaps', 'predictability', 'situations', 'herein', 'first', 'hour', 'movie', 'know', 'kevin', 'bacon', 'make', 'jump', 'weird', 'eccentric', 'homicidal', 'lunatic', 'end', 'ending', 'bit', 'abrupt', 'despite', 'hollow', 'man', 'still', 'worth', 'watching', 'want', 'know', 'truly', 'bad', 'movie', 'waste', 'money', 'fear', 'dot', 'com', 'stephen', 'dorf', 'even', 'worse', 'untold', 'sasquatsh', 'land', 'henriksen', 'hollow']"
1,"['always', 'wondered', 'happened', 'magic', 'kind', 'feeling', 'old', 'slovenian', 'movies', 'seemed', 'well', 'time', 'wondered', 'feeling', 'nostalgia', 'feeling', 'decide', 'pack', 'bags', 'say', 'goodbye', 'somewhere', 'middle', 'cinematic', 'history', 'never', 'came', 'back', 'came', 'back', 'first', 'time', 'saw', 'ekspres', 'ekspres', 'old', 'self', 'againthere', 'three', 'qualities', 'movie', 'makes', 'somewhat', 'unique', 'enjoying', 'watch', 'smooth', 'flow', 'story', 'warmth', 'colors', 'appreciated', 'lack', 'excessive', 'use', 'verbal', 'communication', 'something', 'many', 'not', 'slovenian', 'screenwriters', 'least', 'consider', 'no', 'use', 'words', 'understand', 'well', 'yeah', 'better', 'means', 'use', 'watch', 'bakovic', 'cerar', 'uhso', 'many', 'words', 'would', 'recommend', 'ekspres', 'ekspres', 'mustsee', 'slovenian', 'movie', 'regardless', 'may', 'heard', 'slovenian', 'films', 'ever', 'even', 'heard', 'anything', 'isoh', 'scene', 'bakovic', 'dancing', 'vivaldis', 'music', 'treattreat', 'watch']"
1,"['eye', 'opening', 'think', 'poetry', 'put', 'roethke', 'right', 'next', 'mastersthat', 'love', 'keats', 'shakespeare', 'thomas', 'roethke', 'separates', 'byhis', 'immersion', 'full', 'thrust', 'world', 'no', 'membrane', 'betweenhis', 'words', 'nature', 'plants', 'people', 'provide', 'pictures', 'unerringrhythm', 'chilling', 'bone', 'charms', 'wit', 'wishto', 'shake', 'doldrums', 'read', 'roethke', 'poems', 'courageof', 'pioneer', 'goes', 'alone', 'like', 'keats', 'said', 'nere', 'crowned', 'immortalitywho', 'fears', 'follow', 'voices', 'lead']"
0,"['mercy', 'movie', 'actually', 'starts', 'somewhat', 'decent', 'film', 'ellen', 'barkin', 'give', 'strong', 'performance', 'read', 'book', 'actually', 'got', 'know', 'characters', 'cared', 'done', 'movie', 'not', 'compare', 'always', 'hard', 'brink', 'book', 'onto', 'film', 'unfortunatley', 'one', 'ends', 'failing']"
1,"['like', 'good', 'evil', 'battle', 'liked', 'eddie', 'movie', 'better', 'movie', 'ever', 'done', 'not', 'smart', 'cocky', 'know', 'usually', 'plays', 'shows', 'heart', 'humble', 'humor', 'fact', 'shows', 'stranger', 'things', 'heaven', 'earth', 'think', 'gives', 'hope']"
1,"['unlike', 'previous', 'poster', 'liked', 'celluloid', 'treatment', 'looked', 'good', 'made', 'movie', 'much', 'enjoyable', 'watch', 'not', 'detract', 'power', 'documentarys', 'content', 'fact', 'felt', 'slickness', 'look', 'allowed', 'lose', 'much', 'content', 'previous', 'poster', 'fair', 'liken', 'style', 'nike', 'commercial', 'definitely', 'look', 'tastes', 'worked', 'really', 'well', 'far', 'fan', 'nike', 'commercialsin', 'opinion', 'documentary', 'filmmaking', 'done', 'cannot', 'wait', 'see', 'next', 'installments', 'promising', 'filmmakers']"
1,"['looking', 'headset', 'long', 'time', 'got', 'not', 'happier']"
0,"['mobile', 'apps', 'need', 'construction', 'ground', 'os', 'category', 'expensive', 'get', 'right']"
1,"['please', 'give', 'special', 'thanks', 'aaron', 'tampa', 'office', 'helping', 'literally', 'two', 'hours', 'amazing', 'mission', 'accomplished']"
1,"['appalled', 'dismayed', 'network', 'canceled', 'talk', 'show', 'spike', 'feresten', 'wrong', 'fox', 'television', 'network', 'canceling', 'talk', 'show', 'spike', 'feresten', 'replacing', 'wanda', 'sikes', 'network', 'short', 'attention', 'span', 'wanda', 'large', 'canceled', 'audience', 'grew', 'tired', 'nasty', 'insults', 'would', 'make', 'audience', 'cringe', 'wanda', 'sykes', 'spewing', 'brand', 'vindictive', 'mud', 'slinging', 'jokes', 'not', 'humor', 'nasty', 'repulsiveapparently', 'fox', 'television', 'network', 'rewarded', 'wanda', 'sikes', 'garnered', 'self', 'important', 'appearance', 'front', 'president', 'barak', 'obama', 'no', 'doubt', 'wandas', 'recent', 'ill', 'tempered', 'front', 'president', 'united', 'states', 'not', 'funny', 'audience', 'laughter', 'patronize', 'please', 'barak', 'obamatalk', 'show', 'spike', 'feresten', 'genuine', 'sense', 'humor', 'never', 'deliberately', 'vindictively', 'insulted', 'guest', 'performer', 'spikes', 'well', 'rounded', 'personality', 'always', 'gleefully', 'poked', 'fun', 'life', 'himselfand', 'filed', 'pieces', 'first', 'two', 'seasons', 'aftra', 'actress', 'mary', 'mae', 'atwill', 'mae', 'west', 'st', 'century', 'absolutely', 'hysterical', 'spike', 'ferestens', 'skitsjudge', 'joe', 'brown', 'trading', 'spouses', 'last', 'seasons', 'james', 'kyson', 'lee', 'episode', 'spike', 'chats', 'erica', 'via', 'internet', 'show', 'despite', 'networks', 'budget', 'constraints', 'elaborate', 'field', 'pieces', 'second', 'seasons', 'wga', 'strike', 'spike', 'feresten', 'not', 'waiver', 'sense', 'humor', 'show', 'integrity', 'talk', 'show', 'spike', 'feresten', 'always', 'coming', 'new', 'talent', 'comedy', 'stoners', 'spoofs', 'nanny', 'idiot', 'paparazzi', 'considered', 'cutting', 'edge', 'excellent', 'production', 'value', 'professional', 'level', 'spike', 'feresten', 'best', 'executive', 'producers', 'set', 'producer', 'brett', 'webster', 'along', 'fabulous', 'production', 'crew', 'one', 'best', 'production', 'teams', 'worked', 'aftra', 'career', 'would', 'really', 'foolish', 'sad', 'shame', 'cancel', 'talk', 'show', 'spike', 'feresten', 'unfortunately', 'success', 'conceivably', 'taken', 'comedy', 'central', 'another', 'network', 'financially', 'speaking', 'would', 'become', 'valuable', 'revenue', 'loss', 'fox', 'televisionon', 'behalf', 'late', 'night', 'saturday', 'fox', 'television', 'audience', 'supporters', 'talk', 'show', 'spike', 'feresten', 'including', 'cast', 'crew', 'beseech', 'network', 'retain', 'talk', 'show', 'spike', 'feresten', 'franchise', 'give', 'crew', 'second', 'opportunity', 'become', 'successful', 'fox', 'show']"
1,"['phone', 'holds', 'charge', 'like', 'new']"
1,"['never', 'big', 'fan', 'television', 'watched', 'first', 'time', 'got', 'series', 'late', 'season', 'ended', 'even', 'saw', 'first', 'episode', 'episode', 'series', 'parents', 'dvr', 'digital', 'video', 'recorder', 'box', 'house', 'sitting', 'weekend', 'took', 'one', 'episode', 'hook', 'line', 'sinker', 'world', 'jack', 'bauer', 'boy', 'hooked', 'watched', 'next', 'six', 'episodes', 'without', 'blinking', 'eye', 'next', 'day', 'went', 'blockbuster', 'signed', 'unlimited', 'month', 'pass', 'twenty', 'something', 'dollars', 'needless', 'say', 'greatest', 'blockbuster', 'money', 'ever', 'spent', 'watched', 'first', 'three', 'seasons', 'three', 'weeks', 'forty', 'minute', 'episodes', 'say', 'finding', 'happens', 'next', 'easier', 'dvd', 'waiting', 'entire', 'week', 'imagine', 'anticipation', 'watching', 'season', 'week', 'week', 'find', 'mildly', 'torturous', 'cruel', 'going', 'give', 'try', 'watch', 'like', 'rest', 'america', 'dvr', 'set', 'bet', 'chomping', 'bit']"
0,"['awful', 'product', 'not', 'buy', 'badgemaker', 'refills', 'waste', 'moneymore', 'info', 'product', 'badgemaker', 'really', 'awful', 'badges', 'tiny', 'size', 'nickle', 'cannot', 'really', 'capture', 'picture', 'words', 'well', 'buttons', 'clear', 'plastic', 'pieces', 'come', 'badges', 'not', 'wrap', 'around', 'th', 'abdges', 'nicely', 'instead', 'crinkle', 'around', 'edges', 'look', 'messy', 'agree', 'another', 'reviwer', 'toy', 'not', 'actual', 'badgemaker']"
0,"['let', 'state', 'right', 'start', 'not', 'hate', 'show', 'actually', 'quite', 'like', 'aspects', 'fact', 'first', 'started', 'watch', 'quickly', 'became', 'hooked', 'starting', 'come', 'whole', 'anime', 'kids', 'stereotype', 'mature', 'elements', 'show', 'intriguedunfortunately', 'seeing', 'whole', 'series', 'films', 'say', 'overall', 'disposition', 'changed', 'falls', 'almost', 'pitfalls', 'plague', 'bad', 'anime', 'seven', 'eight', 'friends', 'started', 'watching', 'series', 'tv', 'end', 'one', 'friend', 'still', 'watching', 'neither', 'us', 'liked', 'itallow', 'explain', 'plot', 'skip', 'paragraph', 'not', 'want', 'know', 'kagome', 'average', 'high', 'school', 'student', 'one', 'day', 'falls', 'magical', 'well', 'near', 'family', 'run', 'shrine', 'kagome', 'comes', 'well', 'transported', 'back', 'time', 'feudal', 'era', 'japan', 'meets', 'many', 'characters', 'form', 'group', 'five', 'companions', 'set', 'journey', 'revengejusticegroping', 'one', 'characters', 'case', 'overall', 'trying', 'recover', 'pieces', 'sacred', 'jewel', 'shard', 'enhances', 'power', 'demons', 'use', 'itwhile', 'many', 'many', 'side', 'stories', 'story', 'arcs', 'no', 'near', 'enough', 'material', 'occupy', 'episodes', 'story', 'arc', 'interesting', 'enough', 'watch', 'still', 'sort', 'dull', 'band', 'seven', 'half', 'way', 'mark', 'series', 'maybe', 'even', 'becomes', 'painfully', 'obvious', 'plot', 'frozen', 'place', 'whoever', 'made', 'series', 'decided', 'instead', 'put', 'dozens', 'dozens', 'filler', 'episodes', 'episodes', 'little', 'no', 'impact', 'story', 'rarely', 'even', 'characters', 'cases', 'characters', 'important', 'role', 'story', 'disappear', 'dozens', 'episodes', 'time', 'many', 'episodes', 'follow', 'exact', 'cookie', 'cutter', 'patterns', 'stories', 'inuyasha', 'shoots', 'windscar', 'enemy', 'windscar', 'deflects', 'characters', 'gasp', 'horror', 'enemy', 'turns', 'barrier', 'characters', 'spent', 'three', 'episodes', 'trying', 'kill', 'enemy', 'kagome', 'finally', 'fires', 'sacred', 'arrow', 'turns', 'dust', 'also', 'major', 'spoiler', 'conclusion', 'revealed', 'lack', 'conclusion', 'makes', 'seem', 'like', 'waisted', 'hours', 'major', 'spoiler', 'overthe', 'animation', 'average', 'cases', 'excellent', 'even', 'reused', 'animation', 'cells', 'plague', 'action', 'scenes', 'hard', 'ignore', 'clear', 'exact', 'boulder', 'flown', 'past', 'character', 'five', 'six', 'times', 'rowon', 'brighter', 'side', 'however', 'characters', 'well', 'developed', 'romances', 'characters', 'truly', 'captivating', 'also', 'character', 'designs', 'appearences', 'brilliant', 'times', 'among', 'best', 'seen', 'particularly', 'band', 'seven', 'definitely', 'no', 'shortage', 'cosplay', 'opportunities', 'even', 'found', 'hoping', 'character', 'would', 'die', 'would', 'sort', 'movement', 'plot', 'humour', 'show', 'characters', 'used', 'one', 'particular', 'joke', 'sit', 'boy', 'found', 'within', 'first', 'five', 'episodes', 'literally', 'expect', 'used', 'remaining', 'episodesalthough', 'good', 'aspects', 'show', 'easy', 'see', 'huge', 'following', 'series', 'seems', 'dominated', 'obsessed', 'fan', 'girls', 'drool', 'sesshomiru', 'inuyashabottom', 'line', 'definitely', 'worth', 'checking', 'not', 'worth', 'watching', 'whole', 'series', 'first', 'episodes', 'clever', 'original', 'enjoyable', 'anybody', 'simply', 'becomes', 'dull', 'tedious', 'watching', 'tv', 'show', 'never', 'feel', 'like', 'chore', 'somehow', 'series', 'accomplishes', 'not', 'expect', 'much', 'inuyasha', 'feel', 'let']"
1,"['since', 'angry', 'tweeted', 'airline', 'apparently', 'read', 'mind', 'bitch', 'thank', 'credit']"
1,"['got', 'set', 'thanks']"
1,"['astonishingly', 'bright', 'easy', 'operate', 'use', 'light', 'zipper', 'pull', 'jacket', 'wear', 'walking', 'dog', 'light', 'easy', 'turn', 'wearing', 'gloves', 'winter', 'clip', 'easy', 'attach', 'zipper', 'pull', 'key', 'ring', 'light', 'plenty', 'bright', 'help', 'see', 'pick', 'dog', 'night', 'also', 'use', 'light', 'see', 'trying', 'fit', 'key', 'lock', 'night', 'great', 'tool', 'purpose', 'pinch', 'light', 'bright', 'enough', 'read', 'dark', 'impulse', 'multipurpose', 'light', 'also', 'comes', 'clip', 'attach', 'brim', 'baseball', 'cap', 'use', 'handsfree', 'light', 'never', 'occasion', 'try', 'accessory', 'basic', 'light', 'works', 'well', 'zipper', 'gripe', 'product', 'wee', 'bit', 'larger', 'might', 'like', 'use', 'zipperpull', 'accessory']"
1,"['exactly', 'wanted']"
1,"['movie', 'remained', 'mind', 'years', 'one', 'best', 'madefortv', 'movie', 'mysteries', 'ever', 'seen', 'acting', 'superb', 'seen', 'twice', 'still', 'puzzled', 'parts', 'would', 'love', 'copy', 'play', 'certain', 'parts', 'interested', 'buying', 'copy', 'movie', 'cannot', 'find', 'anywherei', 'wondering', 'anyone', 'suggestions', 'find', 'tried', 'ebay', 'amazoncom', 'internet', 'searches', 'completely', 'frustrated', 'not', 'seen', 'turner', 'classic', 'movies', 'nor', 'american', 'movie', 'classics', 'even', 'put', 'fliers', 'community', 'asking', 'anyone', 'copy']"
0,"['heard', 'good', 'things', 'states', 'grace', 'came', 'open', 'mind', 'thought', 'gods', 'army', 'okay', 'thought', 'maybe', 'dutcher', 'improved', 'matured', 'filmmaker', 'film', 'began', 'shaky', 'acting', 'thought', 'well', 'maybe', 'get', 'better', 'unfortunately', 'never', 'picture', 'starts', 'introducing', 'two', 'elders', 'mormon', 'missionaries', 'seems', 'audience', 'get', 'know', 'grow', 'care', 'instead', 'story', 'degenerates', 'highly', 'improbable', 'series', 'unfortunate', 'events', 'highlighting', 'blatant', 'disobedience', 'missionaries', 'something', 'undeniably', 'exists', 'rarely', 'level', 'dutcher', 'portrays', 'becomes', 'almost', 'laughabledutchers', 'success', 'movie', 'successful', 'alienation', 'target', 'audience', 'unrealistically', 'inaccurately', 'portraying', 'lives', 'mormon', 'missionaries', 'dutcher', 'accomplishes', 'nothing', 'angering', 'predominantly', 'mormon', 'audience', 'film', 'no', 'way', 'reflects', 'reality', 'missions', 'nothing', 'like', 'dutcher', 'shows', 'served', 'mormon', 'mission', 'attest', 'fact', 'gang', 'life', 'california', 'certainly', 'contains', 'much', 'explicit', 'language', 'occasional', 'mild', 'vulgaritythe', 'conclusion', 'assuming', 'supposed', 'touch', 'audience', 'inspire', 'believe', 'forgiveness', 'available', 'unbelievable', 'cmon', 'entire', 'mission', 'gathers', 'see', 'elder', 'sent', 'home', 'mom', 'girl', 'standing', 'right', 'next', 'cheesy', 'next', 'time', 'dutcher', 'try', 'making', 'movie', 'someone', 'identify']"
1,"['hope', 'like', 'photo']"
1,"['one', 'john', 'fords', 'best', 'films', 'informer', 'not', 'feature', 'grand', 'scenery', 'american', 'west', 'instead', 'intense', 'drama', 'ford', 'known', 'plays', 'no', 'less', 'rugged', 'terrain', 'british', 'character', 'actor', 'victor', 'mclaglens', 'face', 'former', 'prizefighter', 'faced', 'joe', 'louis', 'ring', 'delivers', 'academy', 'awardwinning', 'portrayal', 'disgraced', 'ira', 'soldier', 'gypo', 'nolan', 'worst', 'night', 'lifethe', 'plot', 'gracefully', 'simple', 'dublin', 'starving', 'humiliated', 'man', 'thrown', 'ira', 'unable', 'kill', 'informant', 'cold', 'blood', 'becomes', 'informant', 'betrays', 'friend', 'tans', 'rest', 'night', 'drinks', 'gives', 'away', 'blood', 'money', 'rapidly', 'alternating', 'spasms', 'guilt', 'denial', 'selfpity', 'desperate', 'desire', 'escape', 'consequences', 'actions', 'remarkable', 'complexity', 'given', 'character', 'seemingly', 'simple', 'gypo', 'films', 'impressive', 'achievement', 'movies', 'burly', 'lout', 'gypos', 'type', 'would', 'cast', 'heavy', 'would', 'best', 'two', 'three', 'lines', 'disposed', 'quickly', 'hero', 'villain', 'showdown', 'informer', 'gypo', 'hero', 'villain', 'showdown', 'inner', 'turmoil', 'every', 'bit', 'explicitly', 'shared', 'audiencebecause', 'liam', 'oflahertys', 'novel', 'previously', 'filmed', 'rko', 'gave', 'ford', 'modest', 'budget', 'director', 'associates', 'particularly', 'cinematographer', 'joseph', 'h', 'august', 'turned', 'advantage', 'creating', 'claustrophobic', 'masterpiece', 'man', 'war', 'addition', 'mclaglens', 'oscar', 'informer', 'also', 'won', 'john', 'ford', 'first', 'along', 'wins', 'best', 'screenplay', 'best', 'score']"
1,"['cat', 'soup', 'two', 'hello', 'kittytype', 'kittens', 'embarking', 'bizarre', 'trip', 'afterlife', 'anything', 'happen', 'mindtripping', 'asian', 'short', 'uses', 'no', 'dialog', 'substituting', 'word', 'balloons', 'instead', 'no', 'way', 'describing', 'demented', 'cartoon', 'except', 'tell', 'see', 'make', 'sure', 'no', 'one', 'room', 'dismemberment', 'cannibalism', 'cruelty', 'savagery', 'sudden', 'death', 'callous', 'disregard', 'others', 'common', 'themes', 'honest', 'perhaps', 'memorable', 'image', 'elephant', 'composed', 'water', 'kitties', 'swim', 'also', 'ride', 'like', 'practically', 'everything', 'else', 'film', 'silly', 'picaresque', 'interlude', 'soon', 'comes', 'horrible', 'end']"
0,"['watched', 'mom', 'likewhat', 'hell', 'not', 'get', 'may', 'wrong', 'chair', 'something', 'death', 'womans', 'father', 'movie', 'terrible', 'not', 'movie', 'love', 'good', 'suspense', 'movie', 'bad', 'suspense', 'movie', 'shakes', 'cane', 'movie', 'never', 'seeing', 'big', 'fan', 'lifetime', 'movies', 'kind', 'need', 'quit', 'trying', 'make', 'movies', 'outta', 'books', 'driving', 'crazyand', 'whit', 'buttugly', 'yet', 'loves', 'hugh', 'tiny', 'bit', 'nicerlookingmy', 'rating']"
1,"['good', 'product', 'bought', 'one', 'worked', 'well', 'bought', 'another', 'one', 'wifes', 'bike', 'easy', 'install', 'works', 'like', 'charm', 'reason', 'gave', 'four', 'stars', 'rope', 'kind', 'cheap', 'already', 'frayed', 'great', 'product']"
